cant_entrenemiento,clase,precision,recall,f1,tiempo_por_fold,tiempo_total_knn_pca,tiempo_total_fold
50,0,0.3,0.3,0.3,1274414472.099999904632568359375,12744144721,12748372255
50,1,0.5333333333333333259318465024989564,0.80000000000000004440892098500626162,0.61666666666666669627261399000417441,1274414472.099999904632568359375,12744144721,12748372255
50,2,0.2999999999999999888977697537484346,0.2999999999999999888977697537484346,0.2999999999999999888977697537484346,1274414472.099999904632568359375,12744144721,12748372255
50,3,0.2999999999999999888977697537484346,0.40000000000000002220446049250313081,0.33333333333333331482961625624739099,1274414472.099999904632568359375,12744144721,12748372255
50,4,0.2000000000000000111022302462515654,0.2000000000000000111022302462515654,0.2000000000000000111022302462515654,1274414472.099999904632568359375,12744144721,12748372255
50,5,0,0,0,1274414472.099999904632568359375,12744144721,12748372255
50,6,0.2000000000000000111022302462515654,0.2000000000000000111022302462515654,0.2000000000000000111022302462515654,1274414472.099999904632568359375,12744144721,12748372255
50,7,0.21666666666666664631257788187213009,0.40000000000000002220446049250313081,0.2666666666666666629659232512494782,1274414472.099999904632568359375,12744144721,12748372255
50,8,0.1000000000000000055511151231257827,0.1000000000000000055511151231257827,0.1000000000000000055511151231257827,1274414472.099999904632568359375,12744144721,12748372255
50,9,0.1499999999999999944488848768742173,0.2999999999999999888977697537484346,0.2000000000000000111022302462515654,1274414472.099999904632568359375,12744144721,12748372255
75,0,0.5,0.6,0.533333,1332421706.900000095367431640625,13324217069,13329330384
75,1,0.74999999999999988897769753748434596,1,0.83000000000000007105427357601001859,1332421706.900000095367431640625,13324217069,13329330384
75,2,0.34999999999999997779553950749686919,0.5,0.39999999999999996669330926124530379,1332421706.900000095367431640625,13324217069,13329330384
75,3,0.55000000000000004440892098500626162,0.59999999999999997779553950749686919,0.56666666666666665186369300499791279,1332421706.900000095367431640625,13324217069,13329330384
75,4,0.2999999999999999888977697537484346,0.2999999999999999888977697537484346,0.2999999999999999888977697537484346,1332421706.900000095367431640625,13324217069,13329330384
75,5,0.2000000000000000111022302462515654,0.2000000000000000111022302462515654,0.2000000000000000111022302462515654,1332421706.900000095367431640625,13324217069,13329330384
75,6,0.2999999999999999888977697537484346,0.2999999999999999888977697537484346,0.2999999999999999888977697537484346,1332421706.900000095367431640625,13324217069,13329330384
75,7,0.38333333333333335923853724125365261,0.5,0.41666666666666662965923251249478199,1332421706.900000095367431640625,13324217069,13329330384
75,8,0,0,0,1332421706.900000095367431640625,13324217069,13329330384
75,9,0.36666666666666664076146275874634739,0.59999999999999997779553950749686919,0.43333333333333329262515576374426018,1332421706.900000095367431640625,13324217069,13329330384
100,0,0.5,0.6,0.533333,1308222419.2000000476837158203125,13082224192,13089635691
100,1,0.74999999999999988897769753748434596,1,0.83000000000000007105427357601001859,1308222419.2000000476837158203125,13082224192,13089635691
100,2,0.1666666666666666574148081281236955,0.2999999999999999888977697537484346,0.21333333333333331927050835474801715,1308222419.2000000476837158203125,13082224192,13089635691
100,3,0.40000000000000002220446049250313081,0.5,0.43333333333333329262515576374426018,1308222419.2000000476837158203125,13082224192,13089635691
100,4,0.63333333333333341474968847251147963,0.80000000000000004440892098500626162,0.68333333333333334813630699500208721,1308222419.2000000476837158203125,13082224192,13089635691
100,5,0.1000000000000000055511151231257827,0.1000000000000000055511151231257827,0.1000000000000000055511151231257827,1308222419.2000000476837158203125,13082224192,13089635691
100,6,0.4500000000000000111022302462515654,0.5,0.46666666666666661855700226624321658,1308222419.2000000476837158203125,13082224192,13089635691
100,7,0.4500000000000000111022302462515654,0.5,0.46666666666666661855700226624321658,1308222419.2000000476837158203125,13082224192,13089635691
100,8,0.2999999999999999888977697537484346,0.2999999999999999888977697537484346,0.2999999999999999888977697537484346,1308222419.2000000476837158203125,13082224192,13089635691
100,9,0.49166666666666658525031152748852037,0.59999999999999997779553950749686919,0.53000000000000002664535259100375697,1308222419.2000000476837158203125,13082224192,13089635691
125,0,0.9,0.9,0.9,1349389565.5,13493895655,13501716763
125,1,0.73333333333333328152292551749269478,1,0.82333333333333347248128575301961973,1349389565.5,13493895655,13501716763
125,2,0.1666666666666666574148081281236955,0.2000000000000000111022302462515654,0.17999999999999999333866185224906076,1349389565.5,13493895655,13501716763
125,3,0.38333333333333335923853724125365261,0.5,0.41666666666666662965923251249478199,1349389565.5,13493895655,13501716763
125,4,0.66666666666666662965923251249478199,0.75,0.67999999999999993782751062099123374,1349389565.5,13493895655,13501716763
125,5,0.40000000000000002220446049250313081,0.5,0.43333333333333329262515576374426018,1349389565.5,13493895655,13501716763
125,6,0.65000000000000002220446049250313081,0.69999999999999995559107901499373838,0.66666666666666662965923251249478199,1349389565.5,13493895655,13501716763
125,7,0.51666666666666660745477201999165118,0.59999999999999997779553950749686919,0.52333333333333331705006230549770407,1349389565.5,13493895655,13501716763
125,8,0.2999999999999999888977697537484346,0.40000000000000002220446049250313081,0.33333333333333331482961625624739099,1349389565.5,13493895655,13501716763
125,9,0.61666666666666658525031152748852037,0.75,0.63000000000000000444089209850062616,1349389565.5,13493895655,13501716763
150,0,0.85,0.9,0.866667,1415786291.2999999523162841796875,14157862913,14165292890
150,1,0.6566666666666667317997507780091837,1,0.77714285714285702422188251148327254,1415786291.2999999523162841796875,14157862913,14165292890
150,2,0.21666666666666664631257788187213009,0.2000000000000000111022302462515654,0.19666666666666668406016071912745247,1415786291.2999999523162841796875,14157862913,14165292890
150,3,0.68333333333333334813630699500208721,0.69999999999999995559107901499373838,0.66666666666666662965923251249478199,1415786291.2999999523162841796875,14157862913,14165292890
150,4,0.78333333333333343695414896501461044,0.80000000000000004440892098500626162,0.76000000000000000888178419700125232,1415786291.2999999523162841796875,14157862913,14165292890
150,5,0.4500000000000000111022302462515654,0.55000000000000004440892098500626162,0.48333333333333328152292551749269478,1415786291.2999999523162841796875,14157862913,14165292890
150,6,0.59999999999999997779553950749686919,0.69999999999999995559107901499373838,0.63333333333333330372738600999582559,1415786291.2999999523162841796875,14157862913,14165292890
150,7,0.54999999999999993338661852249060757,0.59999999999999997779553950749686919,0.52333333333333320602775984298205003,1415786291.2999999523162841796875,14157862913,14165292890
