iters,tiempo,0,1,2,3,4,5,6,7,8,9,10
5,20456234044,0.965611,0.983839,0.913791,0.9,0.897164,0.923276,0.978682,0.907058,0.872076,0.887027,0.924189
10,20829940247,0.96966,0.98204,0.922942,0.904167,0.88673,0.925395,0.982558,0.918901,0.865739,0.880707,0.925382
15,21199814657,0.965578,0.98204,0.92109,0.902083,0.892927,0.929704,0.978682,0.916932,0.867875,0.895378,0.926576
20,19995847227,0.967594,0.983839,0.924753,0.90625,0.892962,0.936079,0.982558,0.918901,0.878361,0.893277,0.929778
25,21584479697,0.963562,0.983839,0.919252,0.904167,0.897164,0.923276,0.982558,0.920885,0.878344,0.893277,0.927975
30,22710491296,0.967611,0.98204,0.917414,0.904167,0.907616,0.921157,0.982558,0.914948,0.86159,0.89326,0.926576
35,23142226669,0.965578,0.983839,0.922928,0.908333,0.903414,0.921157,0.982558,0.916917,0.872059,0.897461,0.928777
40,25142722936,0.961546,0.983839,0.924767,0.90625,0.907616,0.921139,0.98062,0.918885,0.876261,0.899545,0.929378
45,23255451298,0.963579,0.983839,0.919265,0.902083,0.901383,0.933942,0.98062,0.918901,0.872094,0.895378,0.928386
50,22283628009,0.965578,0.983839,0.922928,0.904167,0.909734,0.925431,0.98062,0.918901,0.872076,0.897461,0.929381
55,22886017558,0.967611,0.983839,0.919252,0.904167,0.907633,0.921157,0.98062,0.918901,0.87416,0.895378,0.92858
60,24759944943,0.965578,0.983839,0.922928,0.904167,0.907633,0.921157,0.98062,0.918901,0.872076,0.895378,0.928581
65,23126825162,0.965578,0.983839,0.92109,0.904167,0.909716,0.921157,0.982558,0.918901,0.872076,0.901628,0.929377
70,24367867873,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.916917,0.874177,0.897461,0.928378
75,23556937149,0.967611,0.983839,0.92109,0.904167,0.907633,0.919021,0.982558,0.918901,0.872076,0.899545,0.92898
80,23727317903,0.967611,0.983839,0.917414,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.897461,0.928178
85,24473742840,0.967611,0.983839,0.92109,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.897461,0.928779
90,26232451514,0.967611,0.983839,0.92109,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.897461,0.92878
95,25119971557,0.967611,0.983839,0.919252,0.904167,0.907633,0.919021,0.982558,0.918901,0.872076,0.897461,0.928579
100,29723556559,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.897461,0.928579
105,27247798260,0.967611,0.983839,0.919252,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.897461,0.928579
110,29478613347,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
115,27029425945,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
120,26308369745,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.897461,0.928379
125,26789681933,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
130,27448764891,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
135,27523008574,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
140,27721342443,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
145,29143280054,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
150,30115144376,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
155,29630329526,0.967611,0.983839,0.919252,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.899545,0.928778
160,31183818912,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
165,29855299221,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
170,29751062446,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
175,31867554893,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
180,33021355989,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
185,31137662888,0.967611,0.983839,0.92109,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.899545,0.928978
190,31713236499,0.967611,0.983839,0.92109,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.899545,0.928978
195,35988570097,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
200,33119343366,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
205,35438522699,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
210,35869377947,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
215,36389019535,0.967611,0.983839,0.919252,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.899545,0.928778
220,36438321444,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
225,32880639365,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
