iters,tiempo,0,1,2,3,4,5,6,7,8,9,10
5,19416887219,0.961546,0.980254,0.921063,0.895833,0.892945,0.923294,0.982558,0.918901,0.86791,0.884874,0.924377
10,19680247364,0.969643,0.983839,0.919225,0.910417,0.897129,0.921176,0.98062,0.916948,0.869975,0.884909,0.926779
15,19554438411,0.969643,0.983839,0.917427,0.908333,0.913918,0.921157,0.978682,0.916917,0.865791,0.895361,0.928381
20,20040651951,0.967611,0.98204,0.911912,0.908333,0.897181,0.923294,0.982558,0.924838,0.874195,0.891159,0.927582
25,20507081588,0.967611,0.983839,0.92109,0.9125,0.901331,0.925431,0.978682,0.918885,0.878379,0.889076,0.928976
30,20818100301,0.967611,0.983839,0.922928,0.910417,0.907633,0.927568,0.982558,0.916917,0.87416,0.897444,0.930376
35,21349896265,0.965578,0.983839,0.919252,0.904167,0.901331,0.919021,0.984496,0.918901,0.872059,0.899545,0.928175
40,21347642842,0.965578,0.983839,0.92109,0.904167,0.907633,0.923294,0.984496,0.918901,0.87416,0.897444,0.929377
45,21663963801,0.965578,0.983839,0.92109,0.9125,0.907616,0.919021,0.98062,0.922838,0.87416,0.895378,0.929577
50,21895571450,0.967611,0.983839,0.919252,0.904167,0.907633,0.921157,0.982558,0.918901,0.872059,0.899545,0.928976
55,22133428207,0.967611,0.983839,0.92109,0.908333,0.907633,0.921157,0.982558,0.914948,0.872059,0.901628,0.929377
60,22598467327,0.967611,0.983839,0.922928,0.904167,0.909716,0.921157,0.984496,0.918901,0.872059,0.899545,0.929777
65,22946879201,0.965578,0.983839,0.92109,0.904167,0.907633,0.923294,0.982558,0.918901,0.872076,0.897461,0.92898
70,23137808428,0.967611,0.983839,0.92109,0.904167,0.907633,0.921157,0.982558,0.918901,0.869975,0.897461,0.928779
75,23357430595,0.965578,0.983839,0.919252,0.904167,0.907633,0.919021,0.98062,0.916917,0.872076,0.901628,0.928377
80,23566936166,0.967611,0.983839,0.919252,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.895378,0.928379
85,24080829702,0.967611,0.983839,0.92109,0.904167,0.907633,0.921157,0.982558,0.916917,0.872076,0.899545,0.928978
90,24281804638,0.967611,0.983839,0.92109,0.904167,0.903449,0.921139,0.982558,0.918901,0.872076,0.901628,0.928978
95,25607964618,0.967611,0.983839,0.919252,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.895378,0.928379
100,26291557103,0.967611,0.983839,0.92109,0.904167,0.907633,0.919021,0.982558,0.918901,0.872076,0.897461,0.92878
105,25320818350,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.897461,0.928579
110,25737168239,0.967611,0.983839,0.919252,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.899545,0.928778
115,25807999940,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.897461,0.928379
120,26215078353,0.967611,0.983839,0.919252,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.899545,0.928778
125,26703388226,0.967611,0.983839,0.92109,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.897461,0.928779
130,27427953643,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
135,28782977143,0.967611,0.983839,0.92109,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.897461,0.928779
140,27430046252,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
145,27332520578,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
150,27880170375,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
155,28252354462,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
160,28631288421,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
165,28882796088,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
170,29198680246,0.967611,0.983839,0.92109,0.904167,0.905532,0.921157,0.982558,0.918901,0.872076,0.899545,0.928978
175,29757000844,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
180,30174677935,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
185,29439796222,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
190,31177381783,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
195,35053841855,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
200,34841624521,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
205,33053850552,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
210,34940860973,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
215,33106217727,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
220,32411589771,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
225,33464251080,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
230,33909673031,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
235,34418956863,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
240,34271407519,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
245,34322246911,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
250,34226973382,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
255,34478390100,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
260,35817371100,0.967611,0.983839,0.92109,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928778
265,37330374002,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
270,35308200884,0.967611,0.983839,0.919252,0.904167,0.905532,0.919021,0.982558,0.918901,0.872076,0.899545,0.928578
