cantImagenes,accuracy,tiempo
500,0.264679,4.48648e+07
1000,0.287018,1.84271e+08
1500,0.293557,4.1445e+08
2000,0.297496,7.40878e+08
2500,0.3016,1.13424e+09
3000,0.302892,1.62475e+09
3500,0.305717,2.21518e+09
4000,0.306335,2.90963e+09
4500,0.30763,3.66145e+09
5000,0.309668,4.50262e+09
5500,0.311153,5.47104e+09
6000,0.312112,6.5152e+09
6500,0.312513,7.63836e+09
7000,0.312905,8.82864e+09
7500,0.313467,1.01291e+10
8000,0.313417,1.15742e+10
8500,0.314118,1.30473e+10
9000,0.314667,1.45827e+10
9500,0.315368,1.61619e+10
10000,0.315633,1.78977e+10
10500,0.315746,1.98412e+10
11000,0.315667,2.16745e+10
11500,0.316116,2.38624e+10
12000,0.316639,2.59486e+10
12500,0.317093,2.82414e+10
13000,0.317231,3.05308e+10
13500,0.317111,3.30207e+10
14000,0.3175,3.50405e+10
14500,0.318046,3.7887e+10
15000,0.3184,4.05325e+10
