cantImagenes,accuracy,tiempo
500,0.269391,5.12879e+09
1000,0.293,5.54449e+09
1500,0.297109,5.9874e+09
2000,0.303667,6.39995e+09
2500,0.306801,6.84814e+09
3000,0.307895,7.32398e+09
3500,0.309622,7.73536e+09
4000,0.31142,8.23897e+09
4500,0.313112,8.69535e+09
5000,0.314802,9.15587e+09
5500,0.315638,9.60741e+09
6000,0.315945,1.00768e+10
6500,0.316308,1.05845e+10
7000,0.315667,1.10633e+10
7500,0.316267,1.15667e+10
8000,0.316126,1.21237e+10
8500,0.316824,1.25545e+10
9000,0.31726,1.30531e+10
9500,0.317684,1.35563e+10
10000,0.3187,1.41035e+10
10500,0.317968,1.46047e+10
11000,0.318242,1.51607e+10
11500,0.318406,1.56657e+10
12000,0.319139,1.62295e+10
12500,0.319307,1.67742e+10
13000,0.319641,1.73261e+10
13500,0.32,1.78849e+10
14000,0.320143,1.84898e+10
14500,0.320529,1.89956e+10
15000,0.320933,1.95618e+10
