
knn, kfold, clase, precision, recall, f1, tiempo por fold, tiempo total knn, tiempo total fold
3, 2, 0, 0.963594, 0.987891, 0.975589, 21300282871.5, 42600565743, 42636333857
3, 2, 1, 0.91694915254237285839877813486964442, 0.98812700996810742815057437837822363, 0.9512082021414229870970302727073431, 21300282871.5, 42600565743, 42636333857
3, 2, 2, 0.98020346738345642823020398282096721, 0.89952418628162011948745657718973234, 0.93812350597609561742018513541552238, 21300282871.5, 42600565743, 42636333857
3, 2, 3, 0.93558311134161575850498593354132026, 0.93558462989156065958695762674324214, 0.93557559988095206904290535021573305, 21300282871.5, 42600565743, 42636333857
3, 2, 4, 0.95256836187068749666195799363777041, 0.91414925654056089499022164091002196, 0.93288483689924761588230239794938825, 21300282871.5, 42600565743, 42636333857
3, 2, 5, 0.93161681384807759620514389098389074, 0.93046357615894037529358229221543297, 0.93101681891914966904266748315421864, 21300282871.5, 42600565743, 42636333857
3, 2, 6, 0.96658569980892861117638403811724856, 0.98005184849424664683681385213276371, 0.97324873733412808896048318274552003, 21300282871.5, 42600565743, 42636333857
3, 2, 7, 0.91273536105938335438736430660355836, 0.94610011857121678602311476424802095, 0.92911504132260924748720753996167332, 21300282871.5, 42600565743, 42636333857
3, 2, 8, 0.96379375296873204259640033342293464, 0.86842105263157898242809551447862759, 0.91359408573138556342030369705753401, 21300282871.5, 42600565743, 42636333857
3, 2, 9, 0.86807108943183286520195451885228977, 0.91859591282635566500403001555241644, 0.89258986925767080933269426168408245, 21300282871.5, 42600565743, 42636333857

knn, kfold, clase, precision, recall, f1, tiempo por fold, tiempo total knn, tiempo total fold
3, 3, 0, 0.965402, 0.985862, 0.975512, 18950053016, 56850159048, 56904252606
3, 3, 1, 0.91983802501455091960025356456753798, 0.98995433789954334624638931927620433, 0.95349193706326074160273265079013072, 18950053016, 56850159048, 56904252606
3, 3, 2, 0.97360179978389727040166690130718052, 0.9157856601785067107712734468805138, 0.9437848780000092085984420009481255, 18950053016, 56850159048, 56904252606
3, 3, 3, 0.93748822167426804075063273558043875, 0.9306320945786822340650701335107442, 0.93390807666325847957722317005391233, 18950053016, 56850159048, 56904252606
3, 3, 4, 0.9585216624031090981716829446668271, 0.93174752738624055936611512152012438, 0.94491140813390606112420755380298942, 18950053016, 56850159048, 56904252606
3, 3, 5, 0.93745595489781530229578265789314173, 0.94150110375275941620998310099821538, 0.93944666467299209333674525623791851, 18950053016, 56850159048, 56904252606
3, 3, 6, 0.95929241103710027882556232725619338, 0.98504781481812508925344218368991278, 0.97196491786911554111583200210588984, 18950053016, 56850159048, 56904252606
3, 3, 7, 0.93053965504850488787980111737851985, 0.93840682314137691122368778451345861, 0.93440187931621465633469370004604571, 18950053016, 56850159048, 56904252606
3, 3, 8, 0.97320107382981879684535897467867471, 0.87683184921934265165788247031741776, 0.92247280419406008089566739727160893, 18950053016, 56850159048, 56904252606
3, 3, 9, 0.890483818919417302595320506952703, 0.93064402625608177999083636677823961, 0.91008224661475434213997459664824419, 18950053016, 56850159048, 56904252606

knn, kfold, clase, precision, recall, f1, tiempo por fold, tiempo total knn, tiempo total fold
3, 4, 0, 0.957856, 0.984863, 0.971159, 16003561998, 64014247992, 64090213286
3, 4, 1, 0.93345627593498514684711153677199036, 0.98630718429988506468220066381036304, 0.95915051776326709642717105452902615, 16003561998, 64014247992, 64090213286
3, 4, 2, 0.97761593287682702069218976248521358, 0.9167434412564711143645013180503156, 0.94618682880882909458364338206592947, 16003561998, 64014247992, 64090213286
3, 4, 3, 0.94562548431446069585604163876269013, 0.94748337411380889605538868636358529, 0.94653409444387648363772314041852951, 16003561998, 64014247992, 64090213286
3, 4, 4, 0.96282918470418477063788031955482438, 0.93175817015877360205422519356943667, 0.94698677151048027411661678343079984, 16003561998, 64014247992, 64090213286
3, 4, 5, 0.9466040490877275503933674372092355, 0.93599177419983625725308229448273778, 0.94124613075170160403359886913676746, 16003561998, 64014247992, 64090213286
3, 4, 6, 0.9620445855315256089568265451816842, 0.98504382470119522530183076014509425, 0.97338985233068642255460645174025558, 16003561998, 64014247992, 64090213286
3, 4, 7, 0.92450351784912032648833246639696881, 0.9528437778437777172513278856058605, 0.9383855778192521368552547755825799, 16003561998, 64014247992, 64090213286
3, 4, 8, 0.96679940545466525048112771401065402, 0.88313743218806506352080987198860385, 0.92289769262598497778782302702893503, 16003561998, 64014247992, 64090213286
3, 4, 9, 0.89380999012649553492337872739881277, 0.92965814872392793510869068995816633, 0.91133465915651667987873452148051001, 16003561998, 64014247992, 64090213286

knn, kfold, clase, precision, recall, f1, tiempo por fold, tiempo total knn, tiempo total fold
3, 5, 0, 0.969295, 0.984859, 0.976976, 13642013003, 68210065015, 68307941955
3, 5, 1, 0.92753836129682054600920082521042787, 0.98721461187214620824903477114276029, 0.95631819084370017769458627299172804, 13642013003, 68210065015, 68307941955
3, 5, 2, 0.97694778422483641300289036735193804, 0.92440191387559811353469285677419975, 0.94978119664560678447884356501162983, 13642013003, 68210065015, 68307941955
